TIC,stype,inner_key,outer_key,inner_radius,outer_radius,inner_error,outer_error,inner_frac_error,outer_frac_error,period_ratio
10837041,K,2411.01,2411.02,1.7489088050751456,2.643124311741326,0.1799739353687516,0.2718957826052413,0.1029064150437613,0.1028690861785886,16.67444388347483
10837041,K,2411.02,2411.03,2.643124311741326,3.105997916597836,0.2718957826052413,0.3081033058910773,0.1028690861785886,0.0991962371399653,1.5239189996131877
20318757,K,1027.01,1027.03,2.87648,2.52314,0.314177,0.302798,0.1092227305595728,0.1200084022289686,1.526235904145525
20318757,K,1027.03,1027.02,2.52314,2.76586,0.302798,0.268927,0.1200084022289686,0.0972308793648268,2.2007634222074257
27491137,K,2076.01,2076.03,2.4103205639147056,3.78219,0.35092917,0.24189,0.1455943973817494,0.0639550101925075,2.029217370787641
27491137,K,2076.03,2076.02,3.78219,3.17021,0.24189,0.207547,0.0639550101925075,0.0654679027572305,1.671436493614104
31374837,K,431.02,431.01,1.4741529433548912,3.2809491788409684,0.1615313,0.32790983,0.1095756724077662,0.0999435870920249,25.42757123568264
42883782,G,5788.02,5788.01,1.53236,1.99447,0.121079,0.13912,0.0790147223889947,0.0697528666763601,2.559497739790856
52368076,K,125.01,125.02,2.66889,2.62011,0.203698,0.183373,0.0763231156023665,0.0699867562812248,1.9680773037302817
52368076,K,125.02,125.03,2.62011,2.54717,0.183373,0.192388,0.0699867562812248,0.0755300981088816,2.1825994459080014
53498154,G,5624.02,5624.03,2.27887,2.23283,0.143888,0.153859,0.0631400650322308,0.0689076194784197,2.3258414823467235
54962195,M,663.01,663.02,2.431285404886721,2.662637512594259,0.40144834,0.19985478,0.1651177353317367,0.0750589515300855,1.806761697386425
64282927,K,5949.01,5949.02,1.40901,0.974713,0.0981889,0.102243,0.06968644651209,0.1048954923141478,1.7928031048492152
80224448,G,6965.01,6965.02,1.3473607884413676,1.622134449735798,0.17746069,0.18024719,0.1317098519731209,0.1111172936555027,4.702261228351502
